topic,explanation
unrealistic student expectations,unrealistic student expectations
enviromental issues,"Environmental issues are harmful effects of human activity on the biophysical environment.[citation needed][dubious – discuss] Environmental protection is a practice of protecting the natural environment on the individual, organizational or governmental levels, for the benefit of both the environment and humans. Environmentalism, a social and environmental movement, addresses environmental issues through advocacy, education and activism.[1]

The carbon dioxide equivalent of greenhouse gases (GHG) in the atmosphere has already exceeded 400 parts per million (NOAA) (with total ""long-term"" GHG exceeding 455 parts per million) (Intergovernmental Panel on Climate Report). The amount of greenhouse gas in the atmosphere is possibly above the threshold that can potentially cause climate change. The UN Office for the Coordination of Humanitarian Affairs (OCHA) has stated ""Climate change is not just a distant future threat. It is the main driver behind rising humanitarian needs and we are seeing its impact. The number of people affected and the damages inflicted by extreme weather has been unprecedented.""[2] Further, OCHA has stated:

Climate disasters are on the rise. Around 70 percent of disasters are now climate-related – up from around 50 percent from two decades ago.
These disasters take a heavier human toll and come with a higher price tag. In the last decade, 2.4 billion people were affected by climate-related disasters, compared to 1.7 billion in the previous decade. The cost of responding to disasters has risen tenfold between 1992 and 2008.
Destructive sudden heavy rains, intense tropical storms, repeated flooding, and droughts are likely to increase, as will the vulnerability of local communities in the absence of strong concerted action.[3]
Environment destruction caused by humans is a global, ongoing problem. By the year 2050, the global human population is expected to grow by 2 billion people, thereby reaching a level of 9.6 billion people.[4] The human effects on Earth can be seen in many different ways. A main effect, is an increase in global temperature. According to the report ”Our Changing Climate”, the global warming that has been going on for the past 50 years is primarily due to human activities.[5] Since 1895, the average temperature in the United States has increased by between 0.7 °C and 1.1 °C (1.3 °F and 1.9 °F), with most of the increase taking place since around 1970.[5][6][7]"
seasoning of food,seasoning of food
sexist jokes,sexist
organic farms,"Organic farming is an agricultural system that uses fertilizers of organic origin such as compost manure, green manure, and bone meal and places emphasis on techniques such as crop rotation and companion planting. It originated early in the 20th century in reaction to rapidly changing farming practices. Certified organic agriculture accounts for 70 million hectares globally, with over half of that total in Australia.[1] Organic farming continues to be developed by various organizations today. Biological pest control, mixed cropping and the fostering of insect predators are encouraged. Organic standards are designed to allow the use of naturally-occurring substances while prohibiting or strictly limiting synthetic substances.[2] For instance, naturally-occurring pesticides such as pyrethrin and rotenone are permitted, while synthetic fertilizers and pesticides are generally prohibited. Synthetic substances that are allowed include, for example, copper sulfate, elemental sulfur and Ivermectin. Genetically modified organisms, nanomaterials, human sewage sludge, plant growth regulators, hormones, and antibiotic use in livestock husbandry are prohibited.[3][4] Organic farming advocates claim advantages in sustainability,[5][6] openness, self-sufficiency, autonomy and independence,[6] health, food security, and food safety.

Organic agricultural methods are internationally regulated and legally enforced by many nations, based in large part on the standards set by the International Federation of Organic Agriculture Movements (IFOAM), an international umbrella organization for organic farming organizations established in 1972.[7] Organic agriculture can be defined as ""an integrated farming system that strives for sustainability, the enhancement of soil fertility and biological diversity while, with rare exceptions, prohibiting synthetic pesticides, antibiotics, synthetic fertilizers, genetically modified organisms, and growth hormones"".[8][9][10][11]

Since 1990, the market for organic food and other products has grown rapidly, reaching $63 billion worldwide in 2012.[12]: 25  This demand has driven a similar increase in organically-managed farmland that grew from 2001 to 2011 at a compounding rate of 8.9% per annum.[13]
As of 2019, approximately 72,300,000 hectares (179,000,000 acres) worldwide were farmed organically, representing approximately 1.5 percent of total world farmland.[14]"
organic systems,"Organic farming is an agricultural system that uses fertilizers of organic origin such as compost manure, green manure, and bone meal and places emphasis on techniques such as crop rotation and companion planting. It originated early in the 20th century in reaction to rapidly changing farming practices. Certified organic agriculture accounts for 70 million hectares globally, with over half of that total in Australia.[1] Organic farming continues to be developed by various organizations today. Biological pest control, mixed cropping and the fostering of insect predators are encouraged. Organic standards are designed to allow the use of naturally-occurring substances while prohibiting or strictly limiting synthetic substances.[2] For instance, naturally-occurring pesticides such as pyrethrin and rotenone are permitted, while synthetic fertilizers and pesticides are generally prohibited. Synthetic substances that are allowed include, for example, copper sulfate, elemental sulfur and Ivermectin. Genetically modified organisms, nanomaterials, human sewage sludge, plant growth regulators, hormones, and antibiotic use in livestock husbandry are prohibited.[3][4] Organic farming advocates claim advantages in sustainability,[5][6] openness, self-sufficiency, autonomy and independence,[6] health, food security, and food safety.

Organic agricultural methods are internationally regulated and legally enforced by many nations, based in large part on the standards set by the International Federation of Organic Agriculture Movements (IFOAM), an international umbrella organization for organic farming organizations established in 1972.[7] Organic agriculture can be defined as ""an integrated farming system that strives for sustainability, the enhancement of soil fertility and biological diversity while, with rare exceptions, prohibiting synthetic pesticides, antibiotics, synthetic fertilizers, genetically modified organisms, and growth hormones"".[8][9][10][11]

Since 1990, the market for organic food and other products has grown rapidly, reaching $63 billion worldwide in 2012.[12]: 25  This demand has driven a similar increase in organically-managed farmland that grew from 2001 to 2011 at a compounding rate of 8.9% per annum.[13]
As of 2019, approximately 72,300,000 hectares (179,000,000 acres) worldwide were farmed organically, representing approximately 1.5 percent of total world farmland.[14]"
liberal religious beliefs,liberal religious beliefs
charles as king,"“Under common law, Prince Charles will automatically become King the moment the Queen dies. Prince William could only become King if Prince Charles chose to abdicate. That would require legislation, as happened with the Declaration of Abdication Act 1936."
germany leaving the euro union,"The European Union (EU) is a political and economic union of 27 member states that are located primarily in Europe.[8] The union has a total area of 4,233,255.3 km2 (1,634,469.0 sq mi) and an estimated total population of about 447 million. An internal single market has been established through a standardised system of laws that apply in all member states in those matters, and only those matters, where the states have agreed to act as one. EU policies aim to ensure the free movement of people, goods, services and capital within the internal market;[9] enact legislation in justice and home affairs; and maintain common policies on trade,[10] agriculture,[11] fisheries and regional development.[12] Passport controls have been abolished for travel within the Schengen Area.[13] A monetary union was established in 1999, coming into full force in 2002, and is composed of 19 member states which use the euro currency. The EU has often been described as a sui generis political entity (without precedent or comparison) with the characteristics of either a federation or confederation.[14][15]

The union and EU citizenship were established when the Maastricht Treaty came into force in 1993.[16] The EU traces its origins to the European Coal and Steel Community (ECSC) and the European Economic Community (EEC), established, respectively, by the 1951 Treaty of Paris and 1957 Treaty of Rome. The original member states of what came to be known as the European Communities were the Inner Six: Belgium, France, Italy, Luxembourg, the Netherlands, and West Germany. The communities and their successors have grown in size by the accession of 21 new member states and in power by the addition of policy areas to their remit. The United Kingdom became the one and only member state to leave the EU[17] on 31 January 2020. Before this, three territories of member states had left the EU or its forerunners. The latest major amendment to the constitutional basis of the EU, the Treaty of Lisbon, came into force in 2009.

Containing some 5.8 per cent of the world population in 2020,[c] the EU had generated a nominal gross domestic product (GDP) of around US$17.1 trillion in 2021,[5] constituting approximately 18 per cent of global nominal GDP.[19][better source needed] Additionally, all EU countries have a very high Human Development Index according to the United Nations Development Programme. In 2012, the EU was awarded the Nobel Peace Prize.[20] Through the Common Foreign and Security Policy, the union has developed a role in external relations and defence. It maintains permanent diplomatic missions throughout the world and represents itself at the United Nations, the World Trade Organization, the G7 and the G20. Due to its global influence, the European Union has been described by some scholars as an emerging superpower.[21][22][23]"
salt in diet,salt in diet
mark twain,"Samuel Langhorne Clemens (November 30, 1835 – April 21, 1910),[1] known by his pen name Mark Twain, was an American writer, humorist, entrepreneur, publisher, and lecturer. He was lauded as the ""greatest humorist the United States has produced,""[2] and William Faulkner called him ""the father of American literature"".[3] His novels include The Adventures of Tom Sawyer (1876) and its sequel, the Adventures of Huckleberry Finn (1884),[4] the latter often called ""The Great American Novel"".

Twain was raised in Hannibal, Missouri, which later provided the setting for Tom Sawyer and Huckleberry Finn. He served an apprenticeship with a printer and then worked as a typesetter, contributing articles to the newspaper of his older brother Orion Clemens. He later became a riverboat pilot on the Mississippi River before heading west to join Orion in Nevada. He referred humorously to his lack of success at mining, turning to journalism for the Virginia City Territorial Enterprise.[5] His humorous story ""The Celebrated Jumping Frog of Calaveras County"" was published in 1865, based on a story that he heard at Angels Hotel in Angels Camp, California, where he had spent some time as a miner. The short story brought international attention and was even translated into French.[6] His wit and satire, in prose and in speech, earned praise from critics and peers, and he was a friend to presidents, artists, industrialists, and European royalty.

Twain earned a great deal of money from his writings and lectures but invested in ventures that lost most of it—such as the Paige Compositor, a mechanical typesetter that failed because of its complexity and imprecision. He filed for bankruptcy in the wake of these financial setbacks, but in time overcame his financial troubles with the help of Henry Huttleston Rogers. He eventually paid all his creditors in full, even though his bankruptcy relieved him of having to do so. Twain was born shortly after an appearance of Halley's Comet, and he predicted that he would ""go out with it"" as well; he died the day after the comet made its closest approach to the Earth."
radical conservativism,"In United States politics, the radical right is a political preference that leans towards extreme conservatism, nationalist white supremacist ideologies and other right-wing beliefs in hierarchical structure.[1] The term was first used by social scientists in the 1950s regarding small groups such as the John Birch Society in the United States and since then it has been applied to similar groups worldwide.[2]

The term ""radical"" was applied to the groups because they sought to make fundamental (hence ""radical"") changes within institutions and remove from political life persons and institutions that threatened their values or economic interests.[3]"
stability,stability
forced imprisoned treatment,forced imprisoned treatment
tennis fans,tennis fans
bicycle,bicycle
appearance,appearance
medicaid and medicare,medicaid and medicare
cameras,cameras
bad,bad
thought,thought
uneven playing fields in life,"In commerce, a level playing field is a concept about fairness, not that each player has an equal chance to succeed, but that they all play by the same set of rules.[1]

In a game played on a playing field, such as rugby, one team would have an unfair advantage if the field had a slope. Since some real-life playing fields do in fact have slopes, it is customary for teams to swap ends of the playing field at half time.

A metaphorical playing field is said to be level if no external interference affects the ability of the players to compete fairly.

Some government regulations are intended to provide such fairness, since all participants must abide by the same rules. However, they can have the opposite effect, for example if larger firms find it easier to pay for fixed costs of regulation. It may be added that if the rules affect different participants differently, then they are not actually the same.[citation needed]

Handicapping might be thought of as the opposite concept, of unequal rules designed to make the outcome of play more equal."
3-d printing,"3D printing, or additive manufacturing, is the construction of a three-dimensional object from a CAD model or a digital 3D model.[1] The term ""3D printing"" can refer to a variety of processes in which material is deposited, joined or solidified under computer control to create a three-dimensional object,[2] with material being added together (such as plastics, liquids or powder grains being fused together), typically layer by layer.

In the 1980s, 3D printing techniques were considered suitable only for the production of functional or aesthetic prototypes, and a more appropriate term for it at the time was rapid prototyping.[3] As of 2019, the precision, repeatability, and material range of 3D printing have increased to the point that some 3D printing processes are considered viable as an industrial-production technology, whereby the term additive manufacturing can be used synonymously with 3D printing.[4] One of the key advantages of 3D printing is the ability to produce very complex shapes or geometries that would be otherwise impossible to construct by hand, including hollow parts or parts with internal truss structures to reduce weight. Fused deposition modeling (FDM), which uses a continuous filament of a thermoplastic material, is the most common 3D printing process in use as of 2020.[5]"
3d printing,"3D printing, or additive manufacturing, is the construction of a three-dimensional object from a CAD model or a digital 3D model.[1] The term ""3D printing"" can refer to a variety of processes in which material is deposited, joined or solidified under computer control to create a three-dimensional object,[2] with material being added together (such as plastics, liquids or powder grains being fused together), typically layer by layer.

In the 1980s, 3D printing techniques were considered suitable only for the production of functional or aesthetic prototypes, and a more appropriate term for it at the time was rapid prototyping.[3] As of 2019, the precision, repeatability, and material range of 3D printing have increased to the point that some 3D printing processes are considered viable as an industrial-production technology, whereby the term additive manufacturing can be used synonymously with 3D printing.[4] One of the key advantages of 3D printing is the ability to produce very complex shapes or geometries that would be otherwise impossible to construct by hand, including hollow parts or parts with internal truss structures to reduce weight. Fused deposition modeling (FDM), which uses a continuous filament of a thermoplastic material, is the most common 3D printing process in use as of 2020.[5]"
turkish lack of democracy,"The Peoples' Democratic Party (Turkish: Halkların Demokratik Partisi, HDP, Kurdish: Partiya Demokratîk a Gelan[22]), or Democratic Party of the Peoples, is a pro-minority political party in Turkey. Generally left-wing, the party places a strong emphasis on participatory and radical democracy, feminism, LGBT+ rights, minority rights, youth rights and egalitarianism. It is an associate member of the Party of European Socialists (PES)[23] a consultative member of the Socialist International[24] and a party within the Progressive Alliance (PA).[25]

Aspiring to fundamentally challenge the existing Turkish-Kurdish divide and other existing parameters in Turkish politics, the HDP was founded in 2012 as the political wing of the Peoples' Democratic Congress, a union of numerous left-wing movements that had previously fielded candidates as independents to bypass the 10% election threshold. The HDP is in an alliance with the Kurdish Democratic Regions Party (DBP), often described as the HDP's fraternal party. From 2013 to 2015, the HDP participated in peace negotiations between the Turkish government and the Kurdistan Workers' Party (PKK). The ruling AKP accuses the HDP of having direct links with the PKK.[26]

The party operates a co-presidential system of leadership, with one chairman and one chairwoman.[27] In the 2014 presidential election, the party put forward its chairman, Selahattin Demirtaş, who won 9.77% of the vote. Despite concerns that it could fall short of the 10% election threshold, the party put forward party-lists instead of running independent candidates in the subsequent June 2015 general election. Exceeding expectations, it polled at 13.12%, becoming the third largest parliamentary group. The party briefly participated in the interim election government formed by AKP Prime Minister Ahmet Davutoğlu on 28 August 2015, with HDP MPs Ali Haydar Konca and Müslüm Doğan becoming the Minister of European Union Affairs and the Minister of Development respectively.

Witnessing the 2016 Turkish coup attempt and pointing out previous repression of democratic forces by martial powers, the HDP strongly opposed the coup. The HDP was first ignored and put left out of the post-coup national truce while the Turkish purges targeted alleged members of the Gülen movement. From September 2016, the Turkish judiciary started to submit HDP elected officials to anti-terrorism accusations. As of March 2018, the MP status of seven HDP representatives had been revoked and six more representatives, including the ex-chairman Demirtaş, remained under arrest,[28] disturbing widely the HDP's ability to communicate and be active on the political scene. In December 2020 HDP co-deputy head for local governments Salim Kaplan said that ""since 2016, 20,000 of our members have been taken into custody and more than 10,000 of our members and executives have been sent to jail."" and 48 municipalities have been seized by the government.[29]"
turkey being a democratic country,"The Peoples' Democratic Party (Turkish: Halkların Demokratik Partisi, HDP, Kurdish: Partiya Demokratîk a Gelan[22]), or Democratic Party of the Peoples, is a pro-minority political party in Turkey. Generally left-wing, the party places a strong emphasis on participatory and radical democracy, feminism, LGBT+ rights, minority rights, youth rights and egalitarianism. It is an associate member of the Party of European Socialists (PES)[23] a consultative member of the Socialist International[24] and a party within the Progressive Alliance (PA).[25]

Aspiring to fundamentally challenge the existing Turkish-Kurdish divide and other existing parameters in Turkish politics, the HDP was founded in 2012 as the political wing of the Peoples' Democratic Congress, a union of numerous left-wing movements that had previously fielded candidates as independents to bypass the 10% election threshold. The HDP is in an alliance with the Kurdish Democratic Regions Party (DBP), often described as the HDP's fraternal party. From 2013 to 2015, the HDP participated in peace negotiations between the Turkish government and the Kurdistan Workers' Party (PKK). The ruling AKP accuses the HDP of having direct links with the PKK.[26]

The party operates a co-presidential system of leadership, with one chairman and one chairwoman.[27] In the 2014 presidential election, the party put forward its chairman, Selahattin Demirtaş, who won 9.77% of the vote. Despite concerns that it could fall short of the 10% election threshold, the party put forward party-lists instead of running independent candidates in the subsequent June 2015 general election. Exceeding expectations, it polled at 13.12%, becoming the third largest parliamentary group. The party briefly participated in the interim election government formed by AKP Prime Minister Ahmet Davutoğlu on 28 August 2015, with HDP MPs Ali Haydar Konca and Müslüm Doğan becoming the Minister of European Union Affairs and the Minister of Development respectively.

Witnessing the 2016 Turkish coup attempt and pointing out previous repression of democratic forces by martial powers, the HDP strongly opposed the coup. The HDP was first ignored and put left out of the post-coup national truce while the Turkish purges targeted alleged members of the Gülen movement. From September 2016, the Turkish judiciary started to submit HDP elected officials to anti-terrorism accusations. As of March 2018, the MP status of seven HDP representatives had been revoked and six more representatives, including the ex-chairman Demirtaş, remained under arrest,[28] disturbing widely the HDP's ability to communicate and be active on the political scene. In December 2020 HDP co-deputy head for local governments Salim Kaplan said that ""since 2016, 20,000 of our members have been taken into custody and more than 10,000 of our members and executives have been sent to jail."" and 48 municipalities have been seized by the government.[29]"
bike lanes,bike lanes
bike lane,bike lanes
tennis,tennis fans
the rrhfa,the rrhfa
rrhfa inductions,rrhfa inductions
crowd,crowd
camera,camera
zip cars,"Zipcar is an American car-sharing company and a subsidiary of Avis Budget Group. Zipcar provides automobile reservations to its members, billable by the minute, hour or day; members may have to pay a monthly or annual membership fee in addition to car reservations charges. Zipcar was founded in 2000 by Antje Danielson and Robin Chase.[5]

On March 14, 2013, Avis Budget Group acquired Zipcar for approximately US$500 million.[6] Scott Griffith, who had run the company for the previous 10 years, resigned the day after the acquisition closed and passed the reins to a new company president, Mark Norman.[7] In early 2014, Kaye Ceille took over as Zipcar's North American President. In the summer of 2016, Kaye Ceille became a managing director of Avis Budget Group International.

In September 2016, Zipcar announced that it had 1 million members across 500 cities in 9 countries, and offers nearly 10,000 vehicles.[8]

Members can reserve vehicles with Zipcar's mobile app, online, or in some places by phone at any time, either immediately or up to a year in advance. Zipcar members have automated access to the cars using an access card which unlocks the door; the keys are already located inside. Alternatively, members can use Zipcar's Android or iPhone app to locate a Zipcar by honking its horn as well as to unlock the doors.[9] Zipcar charges a one-time application fee, an annual fee, and a reservation charge. Fuel, parking, insurance, and maintenance are included in the price.[10]

In the third quarter of 2007, Zipcar merged with Seattle-based rival Flexcar to create a nationwide car rental company.[11] The company's IPO was in April 2011. Zipcar common stock traded on NASDAQ under the ticker symbol ""ZIP"" until it was acquired by Avis in 2013.[12][13]"
transportation system,transportation system
cycle,cycel
uneducated people,"English Literacy in the United States is 79% according to a 2019 report by the National Center for Education Statistics.[1] 21% of American adults are illiterate or functionally illiterate.[2] According to the U.S. Department of Education, 54% of adults in the United States have literacy below the 6th-grade level.[3]

Literacy has increased along with access to education and higher vocational standards. In many nations, the ability to read a simple sentence suffices as literacy, and was the previous standard for the U.S. The definition of literacy has changed greatly; the term is presently defined as the ability to use printed and written information to function in society, to achieve one's goals, and to develop one's knowledge and potential.[4]

The United States Department of Education assesses literacy in the general population through its National Assessment of Adult Literacy (NAAL).[5] The NAAL survey defines three types of literacy:[6]

prose literacy: the knowledge and skills needed to search, comprehend, and use continuous texts. Examples include editorials, news stories, brochures, and instructional materials.
document literacy: the knowledge and skills needed to search, comprehend, and use non-continuous texts in various formats. Examples include job applications, payroll forms, transportation schedules, maps, tables, and drug and food labels.
quantitative literacy: the knowledge and skills required to identify and perform computations, either alone or sequentially, using numbers embedded in printed materials. Examples include balancing a checkbook, figuring out tips, completing an order form, or determining an amount.
Modern jobs often demand a high level of literacy, and its lack in adults and adolescents has been studied extensively. The National Institute for Literacy estimates that 32 million American adults are unable to read, which can contribute to chronic unemployment, low self-esteem, and a lower quality of available work.[7]

According to a 1992 survey, about 40 million adults had Level 1 literary competency, the lowest level, comprising understanding only basic written instructions.[8] A number of reports and studies are published annually to monitor the nation's status, and initiatives to improve literacy rates are funded by government and external sources.[9]"
3d printers,"The Peoples' Democratic Party (Turkish: Halkların Demokratik Partisi, HDP, Kurdish: Partiya Demokratîk a Gelan[22]), or Democratic Party of the Peoples, is a pro-minority political party in Turkey. Generally left-wing, the party places a strong emphasis on participatory and radical democracy, feminism, LGBT+ rights, minority rights, youth rights and egalitarianism. It is an associate member of the Party of European Socialists (PES)[23] a consultative member of the Socialist International[24] and a party within the Progressive Alliance (PA).[25]

Aspiring to fundamentally challenge the existing Turkish-Kurdish divide and other existing parameters in Turkish politics, the HDP was founded in 2012 as the political wing of the Peoples' Democratic Congress, a union of numerous left-wing movements that had previously fielded candidates as independents to bypass the 10% election threshold. The HDP is in an alliance with the Kurdish Democratic Regions Party (DBP), often described as the HDP's fraternal party. From 2013 to 2015, the HDP participated in peace negotiations between the Turkish government and the Kurdistan Workers' Party (PKK). The ruling AKP accuses the HDP of having direct links with the PKK.[26]

The party operates a co-presidential system of leadership, with one chairman and one chairwoman.[27] In the 2014 presidential election, the party put forward its chairman, Selahattin Demirtaş, who won 9.77% of the vote. Despite concerns that it could fall short of the 10% election threshold, the party put forward party-lists instead of running independent candidates in the subsequent June 2015 general election. Exceeding expectations, it polled at 13.12%, becoming the third largest parliamentary group. The party briefly participated in the interim election government formed by AKP Prime Minister Ahmet Davutoğlu on 28 August 2015, with HDP MPs Ali Haydar Konca and Müslüm Doğan becoming the Minister of European Union Affairs and the Minister of Development respectively.

Witnessing the 2016 Turkish coup attempt and pointing out previous repression of democratic forces by martial powers, the HDP strongly opposed the coup. The HDP was first ignored and put left out of the post-coup national truce while the Turkish purges targeted alleged members of the Gülen movement. From September 2016, the Turkish judiciary started to submit HDP elected officials to anti-terrorism accusations. As of March 2018, the MP status of seven HDP representatives had been revoked and six more representatives, including the ex-chairman Demirtaş, remained under arrest,[28] disturbing widely the HDP's ability to communicate and be active on the political scene. In December 2020 HDP co-deputy head for local governments Salim Kaplan said that ""since 2016, 20,000 of our members have been taken into custody and more than 10,000 of our members and executives have been sent to jail."" and 48 municipalities have been seized by the government.[29]"
3-d printer,"The Peoples' Democratic Party (Turkish: Halkların Demokratik Partisi, HDP, Kurdish: Partiya Demokratîk a Gelan[22]), or Democratic Party of the Peoples, is a pro-minority political party in Turkey. Generally left-wing, the party places a strong emphasis on participatory and radical democracy, feminism, LGBT+ rights, minority rights, youth rights and egalitarianism. It is an associate member of the Party of European Socialists (PES)[23] a consultative member of the Socialist International[24] and a party within the Progressive Alliance (PA).[25]

Aspiring to fundamentally challenge the existing Turkish-Kurdish divide and other existing parameters in Turkish politics, the HDP was founded in 2012 as the political wing of the Peoples' Democratic Congress, a union of numerous left-wing movements that had previously fielded candidates as independents to bypass the 10% election threshold. The HDP is in an alliance with the Kurdish Democratic Regions Party (DBP), often described as the HDP's fraternal party. From 2013 to 2015, the HDP participated in peace negotiations between the Turkish government and the Kurdistan Workers' Party (PKK). The ruling AKP accuses the HDP of having direct links with the PKK.[26]

The party operates a co-presidential system of leadership, with one chairman and one chairwoman.[27] In the 2014 presidential election, the party put forward its chairman, Selahattin Demirtaş, who won 9.77% of the vote. Despite concerns that it could fall short of the 10% election threshold, the party put forward party-lists instead of running independent candidates in the subsequent June 2015 general election. Exceeding expectations, it polled at 13.12%, becoming the third largest parliamentary group. The party briefly participated in the interim election government formed by AKP Prime Minister Ahmet Davutoğlu on 28 August 2015, with HDP MPs Ali Haydar Konca and Müslüm Doğan becoming the Minister of European Union Affairs and the Minister of Development respectively.

Witnessing the 2016 Turkish coup attempt and pointing out previous repression of democratic forces by martial powers, the HDP strongly opposed the coup. The HDP was first ignored and put left out of the post-coup national truce while the Turkish purges targeted alleged members of the Gülen movement. From September 2016, the Turkish judiciary started to submit HDP elected officials to anti-terrorism accusations. As of March 2018, the MP status of seven HDP representatives had been revoked and six more representatives, including the ex-chairman Demirtaş, remained under arrest,[28] disturbing widely the HDP's ability to communicate and be active on the political scene. In December 2020 HDP co-deputy head for local governments Salim Kaplan said that ""since 2016, 20,000 of our members have been taken into custody and more than 10,000 of our members and executives have been sent to jail."" and 48 municipalities have been seized by the government.[29]"
fat people,fat people
north american city bicycles,north american city bicycles
bike,bike lanes
economics' math,"Mathematical economics is the application of mathematical methods to represent theories and analyze problems in economics. By convention, these applied methods are beyond simple geometry, such as differential and integral calculus, difference and differential equations, matrix algebra, mathematical programming, and other computational methods.[1][2] Proponents of this approach claim that it allows the formulation of theoretical relationships with rigor, generality, and simplicity.[3]

Mathematics allows economists to form meaningful, testable propositions about wide-ranging and complex subjects which could less easily be expressed informally. Further, the language of mathematics allows economists to make specific, positive claims about controversial or contentious subjects that would be impossible without mathematics.[4] Much of economic theory is currently presented in terms of mathematical economic models, a set of stylized and simplified mathematical relationships asserted to clarify assumptions and implications.[5]

Broad applications include:

optimization problems as to goal equilibrium, whether of a household, business firm, or policy maker
static (or equilibrium) analysis in which the economic unit (such as a household) or economic system (such as a market or the economy) is modeled as not changing
comparative statics as to a change from one equilibrium to another induced by a change in one or more factors
dynamic analysis, tracing changes in an economic system over time, for example from economic growth.[2][6][7]
Formal economic modeling began in the 19th century with the use of differential calculus to represent and explain economic behavior, such as utility maximization, an early economic application of mathematical optimization. Economics became more mathematical as a discipline throughout the first half of the 20th century, but introduction of new and generalized techniques in the period around the Second World War, as in game theory, would greatly broaden the use of mathematical formulations in economics.[8][7]

This rapid systematizing of economics alarmed critics of the discipline as well as some noted economists. John Maynard Keynes, Robert Heilbroner, Friedrich Hayek and others have criticized the broad use of mathematical models for human behavior, arguing that some human choices are irreducible to mathematics."
fame matters,fame matters
it doesn't mention college,it doesn't mention college
mandaory voting,mandaory voting
new bike lanes,new bike lanes
mr. daly,mr. daly
takes no position,"Compulsory voting, also called mandatory voting, is the requirement in some countries that eligible citizens register and vote in elections. Penalties might be imposed on those who fail to do so without a valid reason. According to the CIA World Factbook, 21 countries, including 10 Latin American countries, officially had compulsory voting as of December 2017,[1] with a number of those countries not enforcing it.

During the first two decades of the 21st century, compulsory voting was introduced in Samoa and Bulgaria,[2] while Chile, Cyprus, the Dominican Republic, Fiji and Paraguay have repealed it during that same period."
government overspending on infrastructure,government overspending on infrastructure
syriaallies,"Ensuring national security, increasing influence among its Arab neighbours and securing the return of the Golan Heights, have been the primary goals of the Syrian Arab Republic's foreign policy. At many points in its history, Syria has seen virulent tension with its geographically cultural neighbours, such as Turkey, Israel, Iraq, and Lebanon. Syria enjoyed an improvement in relations with several of the states in its region in the 21st century, prior to the Arab Spring and the Syrian Civil War.

Since the ongoing civil war, the Syrian Arab Republic’s government has been increasingly isolated from the countries in the region, and the wider international community. Diplomatic relations were severed with several countries including: Turkey, Saudi Arabia, Canada, France, Italy, Australia, New Zealand, South Korea, Switzerland, Sweden, Denmark, the Netherlands, Germany, United States, United Kingdom, Belgium, Spain, Japan and Qatar.[1] Syria was suspended from the Arab League in 2011 and the Organisation of Islamic Cooperation in 2012. Syria continues to foster good relations with its traditional allies, Iran and Russia.

Other countries that presently maintain good relations with Syria include China, North Korea, Vietnam,[2] Cuba,[3][4] Venezuela,[5][6] Bolivia,[7] Nicaragua,[8][9] Guyana,[10] India,[11][12][13] South Africa,[14][15] Tanzania,[16] Pakistan,[17] Armenia,[18] Belarus,[19] South Ossetia,[20] Indonesia,[21] From among the Arab League states, Syria continues to have good relations with Iraq, Egypt (after 3 July 2013), Algeria,[22] Oman,[23][24][25][26] Sudan,[27] and Palestine. Syria does not maintain diplomatic relations with Israel, but has diplomatic relations with Abkhazia and South Ossetia.

In December 2018, after American president Donald Trump announced the partial withdrawal of U.S. troops from Syria, some countries initiated reopening of their diplomatic relations with Syria. Following the visit of Sudanese President Omar al-Bashir, the Arab League initiated the process of readmission of the Syrian Arab Republic to the organization,[28] while the United Arab Emirates reopened their embassy in Syria on 27 December,[29] and Bahrain[30] and Italy[31] announced their intentions to reopen their embassies."
lords coe,"Sebastian Newbold Coe, Baron Coe, CH, KBE, Hon FRIBA (born 29 September 1956), often referred to as Seb Coe or Lord Coe,[3][4] is a British politician and former track and field athlete. As a middle-distance runner, Coe won four Olympic medals, including the 1500 metres gold medal at the Olympic Games in 1980 and 1984. He set nine outdoor and three indoor world records in middle-distance track events – including, in 1979, setting three world records in the space of 41 days – and the world record he set in the 800 metres in 1981 remained unbroken until 1997. Coe's rivalries with fellow Britons Steve Ovett and Steve Cram dominated middle-distance racing for much of the 1980s.[5]

Following Coe's retirement from athletics, he was a Conservative member of parliament from 1992 to 1997 for Falmouth in Cornwall, and became a Life Peer on 16 May 2000.

He headed the successful London bid to host the 2012 Summer Olympics and became chairman of the London Organising Committee for the Olympic Games. In 2007, he was elected a vice-president of the International Association of Athletics Federations (IAAF), and re-elected for another four-year term in 2011.[6] In August 2015, he was elected president of the IAAF.[7]

In 2012, Coe was appointed Pro-Chancellor at Loughborough University where he had been an undergraduate, and is also a member of the University's governing body. He was of one of 24 athletes inducted as inaugural members of the IAAF Hall of Fame.[8] In November 2012, he was appointed chairman of the British Olympic Association. Coe was presented with the Lifetime Achievement award at the BBC Sports Personality of the Year in December 2012.[9]"
baskeyball player height,baskeyball player height
nba regulations,"The rules of basketball are the rules and regulations that govern the play, officiating, equipment and procedures of basketball. While many of the basic rules are uniform throughout the world, variations do exist. Most leagues or governing bodies in North America, the most important of which are the National Basketball Association and NCAA, formulate their own rules. In addition, the Technical Commission of the International Basketball Federation (FIBA) determines rules for international play; most leagues outside North America use the complete FIBA ruleset."
forcing participation is not democracy,forcing participation is not democracy
bikecyclists,bikecyclists
